"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Functionality with authorized user","1","1","","0"
"0","","0","Login page functionality","4","0","","0"
"0","","0","Product page functionality","0","17","","0"
"0","","0","Guest can login from main page","2","0","","0"
"0","","0","User add item to basket from product page","1","1","","0"
"0","","0","Main page functionality","1","0","","0"
